,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,97.63339950000001,2024-04-16 02:42:41.715174,2024-04-16 02:59:06.594425,0 days 00:16:24.879251,tanh,2.573903698874385e-06,0.98,0.995,1.5168847234896514e-05,-0.5088190578569085,linear,0.5,32,medium,True,False,True,0.6910370151279749,COMPLETE
1,1,9.0789526,2024-04-16 02:42:41.717170,2024-04-16 02:58:12.705276,0 days 00:15:30.988106,relu,1.2780320941050775e-07,0.98,0.9999,0.20587780729344216,-2.5960899901339216,linear,0.9,64,medium,False,False,False,0.6215091091163095,COMPLETE
2,2,21.6771151,2024-04-16 02:42:41.718138,2024-04-16 02:57:16.038559,0 days 00:14:34.320421,relu,0.0002958933991568785,0.95,0.95,0.015184991233169602,-0.5281171114751899,linear,0.9,128,small,True,True,True,0.913469451764375,COMPLETE
3,3,110.95216169999999,2024-04-16 02:42:41.721158,2024-04-16 02:57:37.382029,0 days 00:14:55.660871,relu,0.054679275244693036,0.92,0.995,0.0015843006662801457,-0.7508275271861793,linear,0.3,2048,medium,False,False,True,0.8964032020632275,COMPLETE
4,4,113.4275467,2024-04-16 02:42:41.722150,2024-04-16 02:57:16.720123,0 days 00:14:34.997973,relu,2.4641158300265162e-08,0.98,0.98,0.0011764165695940753,-2.2057956167670465,linear,0.6,128,small,True,False,True,0.4939047047172578,COMPLETE
5,5,39.5231922,2024-04-16 02:42:41.723124,2024-04-16 02:58:14.362842,0 days 00:15:32.639718,tanh,0.0021611046461956804,1.0,0.98,0.38992780058437887,-1.3291187536283702,constant,0.9,64,small,True,True,False,0.7486581957784547,COMPLETE
6,6,81.53357000000001,2024-04-16 02:42:41.723124,2024-04-16 03:00:30.033005,0 days 00:17:48.309881,tanh,0.0048768889029099545,0.98,0.995,0.0003063314694142627,-2.9708094836655006,linear,0.7,16,small,True,False,True,0.9821162704506388,COMPLETE
7,7,112.9814117,2024-04-16 02:42:41.724122,2024-04-16 02:57:38.164954,0 days 00:14:56.440832,relu,0.0005972565941044014,0.8,0.95,0.42389081582155985,-0.7935174141784249,linear,0.9,1024,medium,True,False,True,0.8529793146924124,COMPLETE
8,8,,2024-04-16 02:57:16.040586,2024-04-16 02:57:53.543529,0 days 00:00:37.502943,relu,0.06365856872813563,0.95,0.9999,0.8391513525512775,-3.7137362468628674,constant,0.6,16,small,True,True,True,0.9937645844724267,PRUNED
9,9,145.858151,2024-04-16 02:57:16.721121,2024-04-16 03:12:42.385875,0 days 00:15:25.664754,tanh,0.003272882206238405,0.98,0.999,0.0001421245885271509,-0.32216655025719776,constant,0.8,64,small,True,False,False,0.04799637954659608,COMPLETE
10,10,126.04219019999998,2024-04-16 02:57:37.384023,2024-04-16 03:13:56.576645,0 days 00:16:19.192622,relu,0.003065350165049438,0.95,0.9999,0.004581796815265727,-3.5816263403662183,linear,0.3,32,small,False,False,False,0.6812713670878433,COMPLETE
11,11,118.8395414,2024-04-16 02:57:38.166949,2024-04-16 03:12:56.745051,0 days 00:15:18.578102,relu,1.6987966835209944e-07,1.0,0.9,0.014276925276039111,-0.49569774358643715,linear,0.5,2048,small,True,True,False,0.9945907008863786,COMPLETE
12,12,30.6248205,2024-04-16 02:57:53.545524,2024-04-16 03:12:53.890382,0 days 00:15:00.344858,relu,4.5153978965261195e-07,0.92,0.9999,0.07808271053839642,0.166611900543149,linear,0.5,256,medium,False,False,False,0.19398372016071685,COMPLETE
