,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,48.35790140000001,2024-04-16 05:55:53.508603,2024-04-16 06:22:36.293009,0 days 00:26:42.784406,relu,32,0.2,0.00035845952382341687,0.8,0.95,3.941927033042877e-05,-2.1068009662453218,0.6,10,1024,small,32,0.5994740386609408,COMPLETE
1,1,-0.8843413999999994,2024-04-16 05:55:53.510735,2024-04-16 06:28:23.119696,0 days 00:32:29.608961,relu,128,0.3,0.0004354228821048391,0.99,0.95,0.03113760467044769,-3.9470618045459296,0.5,10,16,tiny,64,0.6943925283038686,PRUNED
2,2,22.5807674,2024-04-16 05:55:53.511898,2024-04-16 06:08:27.982381,0 days 00:12:34.470483,tanh,128,0.4,0.0003513823043418373,0.8,0.9,0.049359722214511105,-3.60192901041533,0.9,1,1024,tiny,64,0.9954894581276815,COMPLETE
3,3,6.469908799999999,2024-04-16 05:55:53.513893,2024-04-16 06:09:27.682297,0 days 00:13:34.168404,relu,128,0.1,0.011164488707039294,1.0,0.9,0.010945080078439834,0.7821267423080673,0.9,1,64,small,8,0.7419729869819066,COMPLETE
4,4,91.0139672,2024-04-16 05:55:53.515888,2024-04-16 06:10:22.831583,0 days 00:14:29.315695,relu,64,0.1,0.000320329177489357,0.8,0.95,0.06377880441429856,-1.3862186766388946,0.7,1,32,medium,256,0.8825823115787628,COMPLETE
5,5,20.9974634,2024-04-16 05:55:53.515888,2024-04-16 06:11:18.423668,0 days 00:15:24.907780,relu,128,0.2,3.1878094718054978e-06,0.92,0.995,0.0003577277760841909,0.15615835796891897,0.6,10,512,tiny,-1,0.15516097636407677,COMPLETE
6,6,39.1238777,2024-04-16 05:55:53.517902,2024-04-16 06:08:58.257669,0 days 00:13:04.739767,tanh,128,0.2,0.0024982008399172867,0.95,0.98,0.008256759940345177,0.07146102914589836,0.3,1,1024,tiny,32,0.8418892984446619,COMPLETE
7,7,-12.705129900000001,2024-04-16 05:55:53.517902,2024-04-16 06:08:54.637325,0 days 00:13:01.119423,tanh,128,0.3,0.0002968150927898093,0.95,0.98,0.014105046579102058,-2.3501938108445244,5.0,1,256,tiny,32,0.24204155067627353,COMPLETE
8,8,38.822822,2024-04-16 06:08:27.983407,2024-04-16 06:22:39.306948,0 days 00:14:11.323541,tanh,256,0.1,0.0005578726686671086,0.99,0.98,0.00877645070695008,-1.3744316403342243,0.6,20,1024,medium,-1,0.9791894833661148,COMPLETE
9,9,11.439265500000001,2024-04-16 06:08:54.638322,2024-04-16 06:46:44.810927,0 days 00:37:50.172605,relu,64,0.3,1.7790413977474182e-06,0.92,0.9999,0.04434733654071923,-2.240716693024414,0.6,10,16,small,128,0.12047386277986138,PRUNED
10,10,20.846462699999996,2024-04-16 06:08:58.260661,2024-04-16 07:15:06.360158,0 days 01:06:08.099497,relu,512,0.4,1.4031727011397576e-06,0.92,0.995,0.002513810205523425,-3.977584282329382,0.9,20,16,small,-1,0.6207124944386533,PRUNED
11,11,98.5521932,2024-04-16 06:09:27.684292,2024-04-16 06:26:18.777827,0 days 00:16:51.093535,tanh,32,0.4,0.000691821431642971,0.98,0.99,0.24356411695008753,-0.2665318184947383,1.0,5,2048,small,256,0.3858192540444684,COMPLETE
12,12,-8.229183799999998,2024-04-16 06:10:22.833577,2024-04-16 06:24:12.266988,0 days 00:13:49.433411,relu,256,0.3,1.304908720970496e-05,0.98,0.95,0.017514509168874814,-3.894006351158377,0.3,20,2048,small,16,0.6308364552252856,COMPLETE
13,13,3.9870736,2024-04-16 06:11:18.424665,2024-04-16 06:21:15.718349,0 days 00:09:57.293684,tanh,256,0.2,0.0005720800092426911,1.0,0.9999,0.09143160930363403,-3.0660463340638513,5.0,1,256,tiny,32,0.22079167541452271,COMPLETE
14,14,-27.780053399999996,2024-04-16 06:21:15.720343,2024-04-16 06:31:39.874562,0 days 00:10:24.154219,tanh,512,0.1,1.2314844011697324e-08,0.92,0.98,0.0001632233894001685,-3.5571126787545877,0.6,1,64,tiny,32,0.7966551813732018,PRUNED
15,15,-16.1821002,2024-04-16 06:22:36.294007,2024-04-16 07:00:55.937695,0 days 00:38:19.643688,relu,16,0.2,7.764569280042379e-05,0.98,0.999,0.008537246974615604,-1.7339085118787958,1.0,5,8,small,128,0.86344895781871,PRUNED
16,16,4.6963683000000005,2024-04-16 06:22:39.309940,2024-04-16 06:36:58.780768,0 days 00:14:19.470828,relu,512,0.2,1.626601875357352e-07,0.99,0.95,0.0013254695886185282,-1.646530408140681,0.5,1,8,tiny,64,0.6952170098912225,PRUNED
17,17,,2024-04-16 06:24:12.267986,2024-04-16 06:31:07.360391,0 days 00:06:55.092405,relu,16,0.2,0.04602873345911692,0.8,0.95,0.1721054635325299,0.12648484763580847,0.7,5,32,medium,256,0.7226957815950719,PRUNED
18,18,-13.1524273,2024-04-16 06:26:18.778825,2024-04-16 06:37:37.740559,0 days 00:11:18.961734,relu,64,0.3,9.65736695740037e-05,0.8,0.9,0.017032100269145842,-1.2290499378244266,1.0,1,32,tiny,256,0.9187109992452299,PRUNED
19,19,4.5143425,2024-04-16 06:28:23.119696,2024-04-16 06:40:19.059804,0 days 00:11:55.940108,tanh,64,0.1,0.0020290093625129997,0.8,0.95,0.011794336885527834,-1.3284472725819052,0.7,1,2048,medium,256,0.8171748164572168,PRUNED
20,20,33.9161095,2024-04-16 06:31:07.361389,2024-04-16 06:43:47.847906,0 days 00:12:40.486517,tanh,64,0.3,3.2470994079337156e-05,0.8,0.9,0.024843266749828098,-1.482226499416201,0.7,1,32,medium,256,0.8097278213737247,COMPLETE
21,21,130.95213019999997,2024-04-16 06:31:39.875559,2024-04-16 06:44:24.315718,0 days 00:12:44.440159,tanh,32,0.3,0.016446422834474266,0.98,0.99,0.08005170232195136,-1.8250048522344429,1.0,1,512,small,256,0.5787025633808162,COMPLETE
22,22,28.8552306,2024-04-16 06:36:58.781765,2024-04-16 06:51:30.709462,0 days 00:14:31.927697,relu,64,0.1,0.00041011172074709054,0.8,0.95,0.006557433697112924,-2.8644079642112557,0.7,5,2048,medium,256,0.7726951515957965,PRUNED
23,23,57.1052552,2024-04-16 06:37:37.742554,2024-04-16 06:49:34.727466,0 days 00:11:56.984912,tanh,32,0.4,5.916924155610298e-06,0.98,0.99,0.4111559874793396,-0.10253512419665509,1.0,1,128,small,256,0.2477425528189337,COMPLETE
24,24,31.762811999999997,2024-04-16 06:40:19.060801,2024-04-16 07:04:11.769952,0 days 00:23:52.709151,tanh,512,0.4,0.0001541740878227321,0.9,0.99,0.015742717460167616,-1.9348499585867076,1.0,5,16,small,256,0.4792478249468875,PRUNED
25,25,66.45576889999998,2024-04-16 06:43:47.849900,2024-04-16 06:56:07.518222,0 days 00:12:19.668322,tanh,32,0.4,0.002523541542218817,0.98,0.999,0.06750122939300693,0.3731250228740526,2.0,1,2048,small,256,0.16479315860615684,COMPLETE
26,26,-1.3319885999999999,2024-04-16 06:44:24.316715,2024-04-16 07:02:13.722885,0 days 00:17:49.406170,tanh,32,0.4,0.015257949545145017,0.99,0.99,0.09141616201433819,-3.111067446310661,1.0,5,32,small,256,0.4195759260280641,PRUNED
27,27,,2024-04-16 06:46:44.811925,2024-04-16 06:54:58.444148,0 days 00:08:13.632223,tanh,64,0.4,0.00017782646037669782,0.99,0.99,0.6596887292579511,-1.3413997083979996,0.9,5,2048,small,256,0.19888349344126693,PRUNED
28,28,74.5316717,2024-04-16 06:49:34.728463,2024-04-16 07:01:31.954662,0 days 00:11:57.226199,tanh,32,0.2,0.003104311269904932,0.98,0.995,0.0570495767490768,-1.8486212461501432,0.5,1,512,small,256,0.8910878558665656,COMPLETE
29,29,,2024-04-16 06:51:30.710459,2024-04-16 06:51:59.452376,0 days 00:00:28.741917,tanh,32,0.3,0.08986353587905266,0.98,0.99,0.7449556907408231,-1.4091765085109138,0.7,5,512,small,32,0.7960666257972813,PRUNED
30,30,,2024-04-16 06:51:59.454371,2024-04-16 06:52:57.280922,0 days 00:00:57.826551,relu,128,0.4,0.0032985059297289676,0.9,0.99,0.567709577762455,-0.5195636921370302,0.5,5,2048,small,256,0.33724998018788355,PRUNED
