,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,145.8091516,2024-04-14 22:15:44.753637,2024-04-14 23:06:21.826908,0 days 00:50:37.073271,32,100000,0.9,0.023163881866106063,10000,-2.2974513381594823,medium,0.02,32,COMPLETE
1,1,119.34161750000001,2024-04-14 22:15:44.755613,2024-04-14 23:09:17.509330,0 days 00:53:32.753717,128,10000,0.98,0.0002489047592508931,10000,0.5029215738668578,medium,0.005,256,COMPLETE
2,2,133.3055635,2024-04-14 22:15:44.756668,2024-04-14 23:02:45.626151,0 days 00:47:00.869483,16,100000,0.999,0.00015876938578423297,10000,-0.8563269902348676,medium,0.02,4,COMPLETE
3,3,129.5854112,2024-04-14 22:15:44.757666,2024-04-14 23:16:40.793853,0 days 01:00:56.036187,16,1000000,0.995,0.027613551011310536,1000,-2.8702874802312137,medium,0.08,1,COMPLETE
4,4,,2024-04-14 22:15:44.758664,2024-04-14 22:17:34.105879,0 days 00:01:49.347215,1024,10000,0.999,0.8100929355055757,10000,-0.4872648316680275,small,0.01,16,PRUNED
5,5,114.1380786,2024-04-14 22:15:44.759661,2024-04-14 23:21:14.112951,0 days 01:05:29.353290,64,10000,0.9999,0.026271629585747587,1000,-3.2573174563542753,medium,0.08,64,COMPLETE
6,6,,2024-04-14 22:15:44.762653,2024-04-14 22:18:30.700404,0 days 00:02:45.937751,256,100000,0.999,0.49066872897030395,20000,-3.56358392505231,big,0.05,8,PRUNED
7,7,114.82798970000002,2024-04-14 22:15:44.765644,2024-04-14 23:03:51.194812,0 days 00:48:06.429168,128,100000,0.999,0.002600822153742698,20000,0.3990604705016336,big,0.01,32,COMPLETE
8,8,119.60648739999999,2024-04-14 22:17:34.106877,2024-04-14 23:06:50.271015,0 days 00:49:16.164138,256,100000,0.99,0.00022584503007472368,0,-0.4841463172201501,small,0.001,256,COMPLETE
9,9,111.38753550000001,2024-04-14 22:18:30.701401,2024-04-15 00:28:54.519665,0 days 02:10:23.818264,2048,10000,0.995,6.0102400964579e-05,1000,-1.2358137274898233,big,0.001,512,PRUNED
10,10,,2024-04-14 23:02:45.628145,2024-04-14 23:03:49.168233,0 days 00:01:03.540088,16,10000,0.9,0.12932012131797044,10000,0.46566696062962265,medium,0.005,4,PRUNED
11,11,134.5923215,2024-04-14 23:03:49.169232,2024-04-14 23:55:33.882899,0 days 00:51:44.713667,128,1000000,0.95,5.415020643183913e-05,0,0.6234854618108434,small,0.01,64,COMPLETE
12,12,112.5829401,2024-04-14 23:03:51.195809,2024-04-15 01:02:28.809616,0 days 01:58:37.613807,2048,10000,0.9999,0.0003737681702747156,1000,0.6737665001066926,medium,0.005,256,PRUNED
13,13,127.69925539999997,2024-04-14 23:06:21.827905,2024-04-15 00:21:32.871081,0 days 01:15:11.043176,32,10000,0.9,0.0006072911423710575,1000,-0.7463026102201806,big,0.08,32,COMPLETE
14,14,126.18889880000002,2024-04-14 23:06:50.273009,2024-04-15 00:11:38.729955,0 days 01:04:48.456946,1024,10000,0.9,0.0006094982491636641,10000,-3.0677664937319697,small,0.01,4,COMPLETE
15,15,104.3415747,2024-04-14 23:09:17.510327,2024-04-15 00:00:36.302717,0 days 00:51:18.792390,32,10000,0.999,0.00723753167277975,10000,0.2894192513257181,medium,0.05,8,COMPLETE
16,16,119.68368419999999,2024-04-14 23:16:40.794851,2024-04-14 23:44:04.294421,0 days 00:27:23.499570,16,100000,0.9,0.007493341151841337,10000,-0.7567591341178668,small,0.05,64,COMPLETE
17,17,121.3235678,2024-04-14 23:21:14.114946,2024-04-15 00:22:48.698104,0 days 01:01:34.583158,32,100000,0.9,0.012598272363641005,10000,-1.7478443496973202,big,0.05,32,PRUNED
18,18,95.4291695,2024-04-14 23:44:04.295419,2024-04-15 00:44:47.324607,0 days 01:00:43.029188,16,100000,0.999,2.5186327784532016e-05,1000,-0.725403737045736,medium,0.02,4,PRUNED
19,19,111.2366677,2024-04-14 23:55:33.883896,2024-04-15 00:50:15.280828,0 days 00:54:41.396932,128,1000000,0.95,0.0007747051725463906,0,0.9476564018013285,small,0.01,64,PRUNED
20,20,126.3475425,2024-04-15 00:00:36.304712,2024-04-15 00:55:30.728181,0 days 00:54:54.423469,128,1000000,0.95,3.258008258380187e-05,0,-0.1493580650707227,small,0.01,64,COMPLETE
21,21,133.0426544,2024-04-15 00:11:38.730953,2024-04-15 01:05:17.006381,0 days 00:53:38.275428,128,1000000,0.95,0.00038262687949362203,0,0.8018877291536685,small,0.01,64,COMPLETE
22,22,118.04832200000001,2024-04-15 00:21:32.872078,2024-04-15 01:05:59.328180,0 days 00:44:26.456102,128,1000000,0.95,0.00011963646169686091,10000,-0.17921091069398964,small,0.01,512,PRUNED
23,23,,2024-04-15 00:22:48.699102,2024-04-15 00:23:03.976239,0 days 00:00:15.277137,128,100000,0.9,0.39152592550182014,1000,-3.0649799290500424,medium,0.02,8,PRUNED
24,24,96.3772644,2024-04-15 00:23:03.977237,2024-04-15 01:17:08.387297,0 days 00:54:04.410060,128,1000000,0.9999,3.324384269675388e-05,0,-0.5912436564412424,small,0.01,4,PRUNED
25,25,126.72720489999999,2024-04-15 00:28:54.520663,2024-04-15 01:23:29.284905,0 days 00:54:34.764242,128,1000000,0.995,0.0016744303960534062,0,0.8372112350973161,small,0.02,64,COMPLETE
26,26,138.4532079,2024-04-15 00:44:47.328624,2024-04-15 01:53:41.970415,0 days 01:08:54.641791,128,1000000,0.95,3.4906362018953424e-05,0,0.02153984044317736,big,0.02,64,COMPLETE
27,27,132.302401,2024-04-15 00:50:15.281826,2024-04-15 01:41:35.791601,0 days 00:51:20.509775,32,10000,0.9,0.023579005479038916,10000,-1.509595923931026,medium,0.02,512,COMPLETE
28,28,84.89872419999999,2024-04-15 00:55:30.729178,2024-04-15 01:47:00.360741,0 days 00:51:29.631563,64,100000,0.995,0.008874294896096898,10000,-1.8444874793877577,medium,0.02,512,PRUNED
29,29,117.263255,2024-04-15 01:02:28.810614,2024-04-15 01:50:05.170622,0 days 00:47:36.360008,16,100000,0.9,0.00018445109471787048,10000,-1.7557920543712047,medium,0.001,4,PRUNED
30,30,126.6415735,2024-04-15 01:05:17.007378,2024-04-15 01:54:11.491454,0 days 00:48:54.484076,16,100000,0.98,0.0010146448144733933,10000,-0.8132522855250277,medium,0.08,4,PRUNED
31,31,121.55082250000001,2024-04-15 01:05:59.329177,2024-04-15 01:47:41.182622,0 days 00:41:41.853445,32,100000,0.9,0.004838628607744259,10000,-3.784865218759625,small,0.02,256,PRUNED
32,32,100.405852,2024-04-15 01:17:08.388295,2024-04-15 01:54:23.982045,0 days 00:37:15.593750,16,100000,0.95,0.00025135143781651197,10000,-1.5196366858384396,small,0.02,4,PRUNED
33,33,150.93677680000002,2024-04-15 01:23:29.285901,2024-04-15 02:17:38.040250,0 days 00:54:08.754349,1024,100000,0.9,0.034036881749374616,20000,-2.2335455756766245,medium,0.08,32,COMPLETE
34,34,,2024-04-15 01:41:35.792599,2024-04-15 01:42:38.584736,0 days 00:01:02.792137,16,100000,0.9999,0.12665241087207196,10000,-1.363812539586266,medium,0.02,32,PRUNED
35,35,136.8918259,2024-04-15 01:42:38.586731,2024-04-15 02:30:57.716298,0 days 00:48:19.129567,32,100000,0.9,0.0034760790105873613,10000,-3.7781294312468816,medium,0.02,128,COMPLETE
36,36,98.54894920000001,2024-04-15 01:47:00.361738,2024-04-15 02:34:52.006101,0 days 00:47:51.644363,32,100000,0.9,0.0011553623384131608,10000,-3.3536260464926837,medium,0.08,32,PRUNED
37,37,82.466137,2024-04-15 01:47:41.183619,2024-04-15 02:40:05.040916,0 days 00:52:23.857297,32,100000,0.98,0.04555744560069541,10000,-2.050874445586023,medium,0.005,32,PRUNED
38,38,129.08091710000002,2024-04-15 01:50:05.171619,2024-04-15 02:43:17.542854,0 days 00:53:12.371235,512,10000,0.9,0.01811166946180479,20000,-3.868336807300192,medium,0.02,32,COMPLETE
39,39,105.4203095,2024-04-15 01:53:41.971413,2024-04-15 03:04:14.405391,0 days 01:10:32.433978,64,1000000,0.95,0.00021749672248386017,0,-0.5209847452581745,big,0.02,64,PRUNED
40,40,105.1797853,2024-04-15 01:54:11.492451,2024-04-15 04:06:38.558247,0 days 02:12:27.065796,2048,1000000,0.99,3.115055066215853e-05,0,0.5000062016087526,big,0.02,64,PRUNED
41,41,79.9201747,2024-04-15 01:54:23.984040,2024-04-15 03:22:28.504908,0 days 01:28:04.520868,128,10000,0.95,0.00015275590562838516,0,0.070975920795563,big,0.02,64,PRUNED
42,42,158.3178195,2024-04-15 02:17:38.041247,2024-04-15 03:22:53.658692,0 days 01:05:15.617445,32,1000000,0.95,1.5391659895887573e-05,0,-0.3892392482999729,big,0.02,8,COMPLETE
43,43,138.2280203,2024-04-15 02:30:57.717295,2024-04-15 03:36:01.212870,0 days 01:05:03.495575,1024,100000,0.9,0.016765994411131375,20000,-2.231822561806652,medium,0.01,32,COMPLETE
44,44,,2024-04-15 02:34:52.007099,2024-04-15 02:36:24.500211,0 days 00:01:32.493112,1024,100000,0.9,0.30607176332327374,20000,-1.8702215370552842,medium,0.08,512,PRUNED
45,45,123.1209071,2024-04-15 02:36:24.502206,2024-04-15 03:13:39.751227,0 days 00:37:15.249021,32,100000,0.995,0.0025486401712202706,20000,-3.4079739993884584,medium,0.02,128,PRUNED
46,46,117.2260515,2024-04-15 02:40:05.041912,2024-04-15 04:23:25.897385,0 days 01:43:20.855473,1024,100000,0.9,0.0005658445127130281,0,-3.3571490576987033,medium,0.02,1,PRUNED
47,47,148.5323715,2024-04-15 02:43:17.543851,2024-04-15 04:12:21.319829,0 days 01:29:03.775978,128,1000000,0.9999,1.3697621144241447e-05,0,0.651973006465438,big,0.02,64,COMPLETE
