,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,89.6431592,2024-04-17 10:29:15.075022,2024-04-17 11:46:22.577875,0 days 01:17:07.502853,64,100000,0.99,2.535389331998235e-05,10000,-2.214996863412392,medium,0.001,64,COMPLETE
1,1,130.1105496,2024-04-17 10:29:15.077019,2024-04-17 11:47:43.737792,0 days 01:18:28.660773,512,1000000,0.95,0.007365657413224318,20000,-1.5892095771323302,medium,0.01,32,COMPLETE
2,2,86.7238729,2024-04-17 10:29:15.078017,2024-04-17 12:14:18.199941,0 days 01:45:03.121924,128,10000,0.9999,0.014825363591346776,1000,-2.948655632808288,medium,0.005,4,COMPLETE
3,3,114.61887470000002,2024-04-17 10:29:15.080035,2024-04-17 11:46:47.395494,0 days 01:17:32.315459,128,100000,0.9999,0.020340265661719585,1000,-3.0503233438703883,small,0.001,4,COMPLETE
4,4,107.35782329999999,2024-04-17 10:29:15.081033,2024-04-17 11:30:43.486396,0 days 01:01:28.405363,32,1000000,0.99,0.0009302465006091656,20000,-2.9404320941953803,big,0.02,256,COMPLETE
5,5,,2024-04-17 10:29:15.083028,2024-04-17 10:31:44.131532,0 days 00:02:29.048504,2048,10000,0.98,0.1076250981035113,0,-2.069127879462636,medium,0.02,64,PRUNED
6,6,87.6771481,2024-04-17 10:29:15.084025,2024-04-17 12:07:33.455534,0 days 01:38:18.371509,16,1000000,0.9999,0.003449937974044007,0,-1.5652165635925286,big,0.02,32,COMPLETE
7,7,115.90045239999999,2024-04-17 10:29:15.085022,2024-04-17 11:42:32.861706,0 days 01:13:17.776684,512,1000000,0.999,0.003354139633928695,10000,-2.428060118533249,small,0.08,256,COMPLETE
8,8,89.51301070000001,2024-04-17 10:31:44.132529,2024-04-17 11:52:43.045168,0 days 01:20:58.912639,2048,100000,0.9999,6.99828933041328e-05,20000,-2.9488198939558043,small,0.001,512,COMPLETE
9,9,,2024-04-17 11:30:43.487394,2024-04-17 11:33:44.403170,0 days 00:03:00.915776,1024,100000,0.9999,0.08405626801014741,20000,-3.0529333263509892,big,0.01,8,PRUNED
10,10,88.95873950000001,2024-04-17 11:33:44.403170,2024-04-17 13:31:49.761679,0 days 01:58:05.358509,2048,10000,0.99,0.0046736889877716,10000,-3.545577376972396,medium,0.08,128,PRUNED
11,11,,2024-04-17 11:42:32.862704,2024-04-17 11:43:27.958510,0 days 00:00:55.095806,2048,10000,0.95,0.4643066641158588,1000,-1.2626338806157742,medium,0.01,512,PRUNED
12,12,123.2789615,2024-04-17 11:43:27.960504,2024-04-17 12:27:23.385800,0 days 00:43:55.425296,128,10000,0.99,0.01277905490431775,10000,-1.833067802095874,small,0.08,64,COMPLETE
13,13,98.8617551,2024-04-17 11:46:22.578872,2024-04-17 13:35:31.778837,0 days 01:49:09.199965,1024,10000,0.9,2.7134434309639618e-05,0,-0.3779849387704002,medium,0.005,8,PRUNED
14,14,95.2530787,2024-04-17 11:46:47.396491,2024-04-17 13:09:38.147540,0 days 01:22:50.751049,1024,10000,0.9,0.022992792833943818,20000,-2.75905111076072,big,0.005,32,PRUNED
15,15,133.2290307,2024-04-17 11:47:43.738791,2024-04-17 13:13:41.433507,0 days 01:25:57.694716,1024,1000000,0.9999,0.004775837834433328,1000,-1.9138198473208843,small,0.01,64,COMPLETE
16,16,,2024-04-17 11:52:43.046165,2024-04-17 11:54:05.056806,0 days 00:01:22.010641,128,1000000,0.995,0.9376425587011391,20000,-2.572234727134533,small,0.05,1,PRUNED
17,17,81.98502309999999,2024-04-17 11:54:05.057805,2024-04-17 13:30:01.151038,0 days 01:35:56.093233,512,1000000,0.95,0.020885446270253964,1000,-1.9729595286205175,medium,0.01,32,PRUNED
18,18,99.40064470000002,2024-04-17 12:07:33.457529,2024-04-17 12:57:53.236524,0 days 00:50:19.778995,512,10000,0.99,0.0024357060601766073,10000,-2.6616623396590464,small,0.08,4,COMPLETE
19,19,159.0414639,2024-04-17 12:14:18.200938,2024-04-17 13:06:23.972708,0 days 00:52:05.771770,512,1000000,0.999,0.004658600268131256,10000,-1.3932006425864625,small,0.005,128,COMPLETE
20,20,90.6593903,2024-04-17 12:27:23.386797,2024-04-17 13:04:54.884996,0 days 00:37:31.498199,16,1000000,0.95,0.003979154714145498,20000,-1.677220238392687,medium,0.01,8,PRUNED
21,21,,2024-04-17 12:57:53.237522,2024-04-17 12:58:44.161312,0 days 00:00:50.923790,128,10000,0.99,0.2608830987119189,10000,-0.8628049229114969,small,0.08,64,PRUNED
22,22,90.16608000000001,2024-04-17 12:58:44.163307,2024-04-17 14:03:59.800893,0 days 01:05:15.637586,512,1000000,0.99,4.4611995313633206e-05,20000,-1.6561092339944068,medium,0.005,32,PRUNED
23,23,,2024-04-17 13:04:54.885994,2024-04-17 13:07:21.985601,0 days 00:02:27.099607,512,1000000,0.95,0.08724106521532209,20000,-3.6372319618194924,medium,0.01,256,PRUNED
24,24,96.62770989999999,2024-04-17 13:06:23.973706,2024-04-17 14:26:23.761587,0 days 01:19:59.787881,512,1000000,0.999,0.1251606647479216,0,-0.8834656014672863,small,0.005,64,PRUNED
25,25,97.83470410000001,2024-04-17 13:07:21.986598,2024-04-17 14:19:32.580427,0 days 01:12:10.593829,512,1000000,0.98,0.017273122663403206,20000,-1.2569631195060813,medium,0.08,64,PRUNED
26,26,79.30412709999999,2024-04-17 13:09:38.148537,2024-04-17 14:14:58.381826,0 days 01:05:20.233289,512,1000000,0.99,0.002490307818030907,10000,0.18913773583272953,small,0.05,128,PRUNED
27,27,87.8701971,2024-04-17 13:13:41.434503,2024-04-17 14:56:46.486421,0 days 01:43:05.051918,1024,1000000,0.9999,0.04200509444247621,1000,-1.5692026010199709,small,0.05,256,PRUNED
28,28,107.0315897,2024-04-17 13:30:01.152035,2024-04-17 15:01:49.968426,0 days 01:31:48.816391,1024,1000000,0.98,0.006097077648196545,10000,-0.6707510912574581,small,0.01,64,PRUNED
29,29,108.9864867,2024-04-17 13:31:49.762676,2024-04-17 15:40:25.625430,0 days 02:08:35.862754,1024,1000000,0.9,0.00037137743544884895,1000,-0.434897401062436,medium,0.01,64,PRUNED
30,30,134.048961,2024-04-17 13:35:31.779834,2024-04-17 15:21:44.110562,0 days 01:46:12.330728,1024,1000000,0.999,0.0009127068468344573,1000,-2.0161372348246345,small,0.01,4,COMPLETE
31,31,148.30793260000002,2024-04-17 14:03:59.801890,2024-04-17 14:47:42.616935,0 days 00:43:42.815045,16,1000000,0.9999,0.02424958274478918,10000,-0.6139221686545864,small,0.005,128,COMPLETE
32,32,,2024-04-17 14:14:58.382824,2024-04-17 14:16:04.022576,0 days 00:01:05.639752,2048,1000000,0.999,0.27260627586823843,10000,-1.8393873044416826,small,0.005,128,PRUNED
33,33,97.1306073,2024-04-17 14:16:04.023573,2024-04-17 16:36:32.225375,0 days 02:20:28.201802,1024,1000000,0.9999,0.025865232133720023,1000,-1.0927146195729585,big,0.01,4,PRUNED
