Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,MILP,1195,1793,4055,22147,29870,6642,22625,9370,10971,19379,11765,12710
G0,PSO (best),607,1331,3021,20265,27922,5940,21181,8504,10182,19244,11825,11820
G0,PSO-RBO (best),1103,1520,3852,20604,28406,6240,21810,9014,10694,19190,11852,12208
G0,rl-greedy,212,158,1874,16913,27133,4503,19295,6144,9604,18065,11784,10517
G01,MILP,1179,1762,4074,22098,29888,6669,22659,9377,10966,19370,11867,12719
G01,PSO (best),576,1411,3402,20279,27945,6127,21780,8947,10672,19272,11806,12020
G01,PSO-RBO (best),543,1416,3451,20131,27902,6054,21846,8939,10675,19306,11801,12006
G01,rl-greedy,155,117,1825,16930,27216,4606,19295,6240,9595,18150,11784,10538
G1,MILP,1377,2139,4237,22635,30670,7019,22937,9536,11095,19510,12084,13022
G1,PSO (best),508,1467,3985,22083,29931,6951,22845,9427,11046,19475,12075,12708
G1,PSO-RBO (best),1281,1966,4077,21927,29732,6902,22690,9356,10989,19366,12084,12761
G1,rl-greedy,412,408,3424,20013,27333,6503,21945,8994,10454,18965,12084,11867
G2,MILP,4211,5298,12038,32322,70830,8546,31105,28274,33549,55138,33077,28581
G2,PSO (best),1921,2841,10037,60349,85922,16711,59056,24788,31201,54586,32542,34541
G2,PSO-RBO (best),3231,4451,10592,58579,85080,17196,59529,24584,31531,53994,32750,34683
G2,rl-greedy,1176,1362,8745,52107,78465,10561,49734,20765,29663,53303,30914,30618
G21,MILP,4277,5314,12042,53115,34624,19481,62620,28025,33585,55093,33109,31026
G21,PSO (best),2050,4657,11599,59889,86495,17507,60175,26404,32571,54782,32807,35358
G21,PSO-RBO (best),1589,3974,11275,59006,85430,17214,59714,25499,31586,54857,32698,34804
G21,rl-greedy,1061,1234,8646,52161,78623,10614,49670,20929,29625,53343,30914,30620
G3,MILP,4811,6571,11208,61340,73658,20922,65500,28757,33782,55739,34005,36027
G3,PSO (best),3329,5707,12917,62561,88264,20010,63318,27275,32174,54775,33660,36726
G3,PSO-RBO (best),4115,5405,12853,62194,87539,19989,63301,27411,32355,54804,33672,36694
G3,rl-greedy,1676,1812,12345,60857,85265,19611,62084,26715,32063,54403,33514,35486
