Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,MILP,+463.9%,+1037.7%,+116.4%,+30.9%,+10.1%,+47.5%,+17.3%,+52.5%,+14.2%,+7.3%,-0.2%,+20.9%
G0,PSO (best),+186.6%,+744.5%,+61.2%,+19.8%,+2.9%,+31.9%,+9.8%,+38.4%,+6.0%,+6.5%,+0.3%,+12.4%
G0,PSO-RBO (best),+420.6%,+864.2%,+105.6%,+21.8%,+4.7%,+38.6%,+13.0%,+46.7%,+11.3%,+6.2%,+0.6%,+16.1%
G0,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G01,MILP,+661.6%,+1401.2%,+123.2%,+30.5%,+9.8%,+44.8%,+17.4%,+50.3%,+14.3%,+6.7%,+0.7%,+20.7%
G01,PSO (best),+272.4%,+1102.4%,+86.4%,+19.8%,+2.7%,+33.0%,+12.9%,+43.4%,+11.2%,+6.2%,+0.2%,+14.1%
G01,PSO-RBO (best),+250.6%,+1106.9%,+89.1%,+18.9%,+2.5%,+31.4%,+13.2%,+43.3%,+11.3%,+6.4%,+0.1%,+13.9%
G01,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G1,MILP,+234.4%,+424.8%,+23.7%,+13.1%,+12.2%,+7.9%,+4.5%,+6.0%,+6.1%,+2.9%,-0.0%,+9.7%
G1,PSO (best),+23.4%,+259.9%,+16.4%,+10.3%,+9.5%,+6.9%,+4.1%,+4.8%,+5.7%,+2.7%,-0.1%,+7.1%
G1,PSO-RBO (best),+210.9%,+382.3%,+19.1%,+9.6%,+8.8%,+6.1%,+3.4%,+4.0%,+5.1%,+2.1%,0.0%,+7.5%
G1,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G2,MILP,+257.9%,+289.1%,+37.7%,-38.0%,-9.7%,-19.1%,-37.5%,+36.2%,+13.1%,+3.4%,+7.0%,-6.7%
G2,PSO (best),+63.3%,+108.7%,+14.8%,+15.8%,+9.5%,+58.2%,+18.7%,+19.4%,+5.2%,+2.4%,+5.3%,+12.8%
G2,PSO-RBO (best),+174.6%,+226.9%,+21.1%,+12.4%,+8.4%,+62.8%,+19.7%,+18.4%,+6.3%,+1.3%,+5.9%,+13.3%
G2,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G21,MILP,+303.1%,+330.5%,+39.3%,+1.8%,-56.0%,+83.5%,+26.1%,+33.9%,+13.4%,+3.3%,+7.1%,+1.3%
G21,PSO (best),+93.2%,+277.3%,+34.2%,+14.8%,+10.0%,+64.9%,+21.1%,+26.2%,+9.9%,+2.7%,+6.1%,+15.5%
G21,PSO-RBO (best),+49.8%,+221.9%,+30.4%,+13.1%,+8.7%,+62.2%,+20.2%,+21.8%,+6.6%,+2.8%,+5.8%,+13.7%
G21,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G3,MILP,+187.0%,+262.7%,-9.2%,+0.8%,-13.6%,+6.7%,+5.5%,+7.6%,+5.4%,+2.5%,+1.5%,+1.5%
G3,PSO (best),+98.6%,+215.0%,+4.6%,+2.8%,+3.5%,+2.0%,+2.0%,+2.1%,+0.3%,+0.7%,+0.4%,+3.5%
G3,PSO-RBO (best),+145.4%,+198.4%,+4.1%,+2.2%,+2.7%,+1.9%,+2.0%,+2.6%,+0.9%,+0.7%,+0.5%,+3.4%
G3,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
