Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G0,Heuristic,+71.55%,+283.69%,+31.43%,-2.39%,-18.32%,-11.70%,-8.68%,+2.96%,-7.60%,-3.56%,-0.61%,-6.61%
G01,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G01,Heuristic,-203.49%,-132.85%,-52.24%,-24.46%,-32.32%,-31.57%,-12.40%,+5.61%,-13.11%,+2.37%,0.00%,-16.12%
G1,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G1,Heuristic,+185.64%,+314.82%,+8.58%,-5.62%,-2.66%,-1.89%,-5.61%,-3.48%,-3.36%,-0.97%,0.00%,-1.31%
G2,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G2,Heuristic,+22.99%,+62.84%,-17.02%,-17.81%,-20.22%,+12.22%,-10.61%,-13.37%,-19.03%,-12.19%,-12.99%,-14.38%
G21,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G21,Heuristic,-28.85%,-30.88%,-60.34%,-33.24%,-34.19%,-20.34%,-16.83%,-19.67%,-14.36%,-5.33%,-12.21%,-22.45%
G3,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G3,Heuristic,+104.58%,+197.46%,-3.97%,-15.58%,-12.99%,-5.51%,-10.19%,-9.00%,-7.61%,-3.51%,-2.54%,-7.87%
Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G0,Heuristic,+200.37%,+206.56%,+30.54%,-5.80%,-15.08%,-10.95%,-5.62%,+12.84%,-4.80%,-5.73%,-0.61%,-5.28%
G01,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G01,Heuristic,-217.97%,-224.15%,-44.03%,-12.42%,-7.71%,-10.29%,-7.73%,+12.12%,-12.38%,+2.91%,0.00%,-6.45%
G1,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G1,Heuristic,+174.43%,+284.11%,+10.53%,-3.22%,-3.00%,-3.65%,-5.50%,-3.93%,-2.64%,-0.44%,0.00%,-1.06%
G2,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G2,Heuristic,+65.81%,+73.65%,-25.72%,-16.54%,-14.44%,+20.77%,-7.97%,-3.65%,-20.86%,-9.76%,-27.72%,-12.74%
G21,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G21,Heuristic,-25.61%,+39.73%,-43.89%,-15.56%,-17.66%,-5.37%,-7.45%,-7.98%,-10.17%,-9.52%,-33.24%,-14.81%
G3,rl-greedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
G3,Heuristic,+143.33%,+181.77%,-5.34%,-5.23%,-11.94%,-11.00%,-11.64%,-9.05%,-5.50%,-4.96%,-7.32%,-6.93%
