Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,rl-greedy,212,158,1874,16913,27133,4503,19295,6144,9604,18065,11784,10517
G0,MILP,1195,1793,4055,22147,29870,6642,22625,9370,10971,19379,11765,12710
G0,PSO (general),1103,1520,3852,20604,28406,6240,21810,9014,10694,19190,11852,12208
G0,RL,168,164,2032,16913,27133,5094,20344,7998,10489,18492,11780,10964
G01,rl-greedy,155,117,1825,16930,27216,4606,19295,6240,9595,18150,11784,10538
G01,MILP,1179,1762,4074,22098,29888,6669,22659,9377,10966,19370,11867,12719
G01,PSO (general),576,1411,3402,20279,27945,6127,21780,8947,10672,19272,11806,12020
G1,rl-greedy,412,408,3424,20013,27333,6503,21945,8994,10454,18965,12084,11867
G1,MILP,1377,2139,4237,22635,30670,7019,22937,9536,11095,19510,12084,13022
G1,PSO (general),1281,1966,4077,21927,29732,6902,22690,9356,10989,19366,12084,12761
G1,RL,390,1327,3434,20050,27514,6603,22273,9051,10611,19222,12074,12050
G2,rl-greedy,1176,1362,8745,52107,78465,10561,49734,20765,29663,53303,30914,30618
G2,MILP,4211,5298,12038,32322,70830,8546,31105,28274,33549,55138,33077,28581
G2,PSO (general),3231,4451,10592,58579,85080,17196,59529,24584,31531,53994,32750,34683
G2,RL,1237,1362,8749,52107,78861,10561,49734,20765,29663,53303,30914,30660
G21,rl-greedy,1061,1234,8646,52161,78623,10614,49670,20929,29625,53343,30914,30620
G21,MILP,4277,5314,12042,53115,34624,19481,62620,28025,33585,55093,33109,31026
G21,PSO (general),2050,4657,11599,59889,86495,17507,60175,26404,32571,54782,32807,35358
G3,rl-greedy,1676,1812,12345,60857,85265,19611,62084,26715,32063,54403,33514,35486
G3,MILP,4811,6571,11208,61340,73658,20922,65500,28757,33782,55739,34005,36027
G3,PSO (general),3329,5707,12917,62561,88264,20010,63318,27275,32174,54775,33660,36726
G3,RL,1896,3877,12345,60857,85265,19611,62084,26715,32063,54403,33514,35694
