Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G0,MILP,+463.9%,+1037.7%,+116.4%,+30.9%,+10.1%,+47.5%,+17.3%,+52.5%,+14.2%,+7.3%,-0.2%,+20.9%
G0,PSO (general),+420.6%,+864.2%,+105.6%,+21.8%,+4.7%,+38.6%,+13.0%,+46.7%,+11.3%,+6.2%,+0.6%,+16.1%
G0,RL,-20.9%,+3.8%,+8.4%,0.0%,0.0%,+13.1%,+5.4%,+30.2%,+9.2%,+2.4%,-0.0%,+4.3%
G01,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G01,MILP,+661.6%,+1401.2%,+123.2%,+30.5%,+9.8%,+44.8%,+17.4%,+50.3%,+14.3%,+6.7%,+0.7%,+20.7%
G01,PSO (general),+272.4%,+1102.4%,+86.4%,+19.8%,+2.7%,+33.0%,+12.9%,+43.4%,+11.2%,+6.2%,+0.2%,+14.1%
G1,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G1,MILP,+234.4%,+424.8%,+23.7%,+13.1%,+12.2%,+7.9%,+4.5%,+6.0%,+6.1%,+2.9%,-0.0%,+9.7%
G1,PSO (general),+210.9%,+382.3%,+19.1%,+9.6%,+8.8%,+6.1%,+3.4%,+4.0%,+5.1%,+2.1%,0.0%,+7.5%
G1,RL,-5.3%,+225.6%,+0.3%,+0.2%,+0.7%,+1.5%,+1.5%,+0.6%,+1.5%,+1.4%,-0.1%,+1.5%
G2,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G2,MILP,+257.9%,+289.1%,+37.7%,-38.0%,-9.7%,-19.1%,-37.5%,+36.2%,+13.1%,+3.4%,+7.0%,-6.7%
G2,PSO (general),+174.6%,+226.9%,+21.1%,+12.4%,+8.4%,+62.8%,+19.7%,+18.4%,+6.3%,+1.3%,+5.9%,+13.3%
G2,RL,+5.1%,0.0%,+0.0%,0.0%,+0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,+0.1%
G21,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G21,MILP,+303.1%,+330.5%,+39.3%,+1.8%,-56.0%,+83.5%,+26.1%,+33.9%,+13.4%,+3.3%,+7.1%,+1.3%
G21,PSO (general),+93.2%,+277.3%,+34.2%,+14.8%,+10.0%,+64.9%,+21.1%,+26.2%,+9.9%,+2.7%,+6.1%,+15.5%
G3,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G3,MILP,+187.0%,+262.7%,-9.2%,+0.8%,-13.6%,+6.7%,+5.5%,+7.6%,+5.4%,+2.5%,+1.5%,+1.5%
G3,PSO (general),+98.6%,+215.0%,+4.6%,+2.8%,+3.5%,+2.0%,+2.0%,+2.1%,+0.3%,+0.7%,+0.4%,+3.5%
G3,RL,+13.1%,+114.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,+0.6%
