Configuration,Solver,Percentile00,Percentile10,Percentile20,Percentile30,Percentile40,Percentile50,Percentile60,Percentile70,Percentile80,Percentile90,Percentile100,Average
G0,rl-greedy,0.5%,3.0%,22.2%,7.6%,1.0%,26.3%,25.8%,38.9%,25.3%,14.1%,0.0%,15.0%
G0,MILP,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G0,PSO (general),0.1%,1.9%,2.9%,5.9%,3.2%,6.0%,9.8%,4.4%,4.0%,2.8%,0.0%,3.7%
G0,RL,0.5%,3.0%,21.7%,7.6%,1.0%,18.2%,10.1%,22.2%,10.6%,7.6%,0.0%,9.3%
G01,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G01,MILP,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G01,PSO (general),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G1,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G1,MILP,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G1,PSO (general),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G1,RL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G2,rl-greedy,0.2%,3.2%,7.6%,3.2%,3.4%,9.3%,8.8%,13.0%,8.4%,5.2%,0.0%,5.6%
G2,MILP,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G2,PSO (general),0.8%,2.9%,3.7%,4.2%,3.0%,2.3%,4.6%,3.1%,2.7%,2.0%,0.7%,2.7%
G2,RL,0.7%,3.2%,7.7%,3.2%,8.4%,9.3%,8.8%,13.0%,8.4%,5.2%,0.0%,6.2%
G21,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G21,MILP,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G21,PSO (general),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G3,rl-greedy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G3,MILP,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G3,PSO (general),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
G3,RL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
